Device ID,NMOS3_C8R5,,
Flags,,,
Remarks,,,
VG,IDS,IG,VDS
-10,5.494E-12,-6.678E-12,0.1
-9.889,2.116E-12,-3.756E-12,0.1
-9.778,2.374E-12,-3.229E-12,0.1
-9.667,8.1E-13,-2.476E-12,0.1
-9.556,6.9E-13,-1.93E-12,0.1
-9.444,5.79E-13,-1.669E-12,0.1
-9.333,5.33E-13,-1.391E-12,0.1
-9.222,4.39E-13,-1.205E-12,0.1
-9.111,3.34E-13,-1.109E-12,0.1
-9,2.48E-13,-9.3E-13,0.1
-8.889,2.4E-13,-8.91E-13,0.1
-8.778,2.54E-13,-8.44E-13,0.1
-8.667,1.56E-13,-8.45E-13,0.1
-8.556,1.68E-13,-6.69E-13,0.1
-8.444,2.1E-13,-6.71E-13,0.1
-8.333,2.11E-13,-6.37E-13,0.1
-8.222,-2.693E-12,-6.94E-13,0.1
-8.111,1.54E-13,-5.71E-13,0.1
-8,1.79E-13,-4.84E-13,0.1
-7.889,2.92E-13,-4.85E-13,0.1
-7.778,2.97E-13,-3.61E-13,0.1
-7.667,4.5E-14,-4.73E-13,0.1
-7.556,-8.9E-14,-4.24E-13,0.1
-7.444,2.2E-14,-4.45E-13,0.1
-7.333,-7.7E-14,-7.97E-13,0.1
-7.222,1.62E-13,-3.03E-13,0.1
-7.111,8.7E-14,-3.57E-13,0.1
-7,5.6E-14,-3.82E-13,0.1
-6.889,-8E-15,-3.38E-13,0.1
-6.778,6.1E-14,-2.54E-13,0.1
-6.667,9.5E-14,-5.65E-13,0.1
-6.556,-1E-13,-3.96E-13,0.1
-6.444,1.09E-13,-3.19E-13,0.1
-6.333,-3.3E-14,-2.45E-13,0.1
-6.222,7.3E-14,-2.73E-13,0.1
-6.111,3.8E-14,-2.66E-13,0.1
-6,-3.8E-14,-2.54E-13,0.1
-5.889,2E-15,-2.49E-13,0.1
-5.778,2.6E-14,-2.4E-13,0.1
-5.667,3E-14,-2.46E-13,0.1
-5.556,1.6E-14,-2.3E-13,0.1
-5.444,2.8E-14,-2.11E-13,0.1
-5.333,1.5E-14,-1.74E-13,0.1
-5.222,1.4E-14,-1.87E-13,0.1
-5.111,-1.3E-14,-1.89E-13,0.1
-5,-3E-14,-1.94E-13,0.1
-4.889,5E-15,-1.69E-13,0.1
-4.778,7E-15,-1.92E-13,0.1
-4.667,-1.6E-14,-1.6E-13,0.1
-4.556,-4.8E-14,-1.71E-13,0.1
-4.444,-4.3E-14,-1.51E-13,0.1
-4.333,-3E-14,-1.43E-13,0.1
-4.222,-6.9E-14,-1.29E-13,0.1
-4.111,-7.2E-14,-1.23E-13,0.1
-4,-1E-13,-1.04E-13,0.1
-3.889,-5.5E-14,-1.2E-13,0.1
-3.778,-7.5E-14,-1.14E-13,0.1
-3.667,-5.6E-14,-1.09E-13,0.1
-3.556,-1.02E-13,-8E-14,0.1
-3.444,-1.04E-13,-5.3E-14,0.1
-3.333,-1.29E-13,-6.2E-14,0.1
-3.222,-1.42E-13,-3.4E-14,0.1
-3.111,-1.52E-13,2.8E-14,0.1
-3,-1.86E-13,7.5E-14,0.1
-2.889,-2.49E-13,1.74E-13,0.1
-2.778,-3.13E-13,3.12E-13,0.1
-2.667,-2.47E-13,2.73E-13,0.1
-2.556,4.1E-13,1.59E-13,0.1
-2.444,2.009E-12,1.75E-13,0.1
-2.333,5.781E-12,1.79E-13,0.1
-2.222,1.456E-11,1.34E-13,0.1
-2.111,3.3399E-11,1.07E-13,0.1
-2,7.1704E-11,1.24E-13,0.1
-1.8889,1.44594E-10,1.19E-13,0.1
-1.7778,2.70587E-10,6.5E-14,0.1
-1.6667,4.7524E-10,8.9E-14,0.1
-1.5556,7.7304E-10,9.8E-14,0.1
-1.4444,1.28023E-09,1.01E-13,0.1
-1.3333,0.000000002,1.26E-13,0.1
-1.2222,2.86137E-09,1.01E-13,0.1
-1.1111,0.000000004,1.5E-13,0.1
-1,5.50104E-09,1.12E-13,0.1
-0.8889,7.20907E-09,8.6E-14,0.1
-0.7778,9.30394E-09,1.13E-13,0.1
-0.6667,1.15347E-08,1.03E-13,0.1
-0.5556,1.44377E-08,1.21E-13,0.1
-0.4444,1.78089E-08,1.01E-13,0.1
-0.3333,2.15016E-08,9.7E-14,0.1
-0.2222,2.56081E-08,1.06E-13,0.1
-0.1111,3.02542E-08,1.12E-13,0.1
0,3.52139E-08,1.26E-13,0.1
0.1111,4.06324E-08,1.31E-13,0.1
0.2222,4.65115E-08,1.35E-13,0.1
0.3333,5.28915E-08,1.27E-13,0.1
0.4444,5.95605E-08,1.5E-13,0.1
0.5556,0.000000067,1.15E-13,0.1
0.6667,7.47865E-08,1.24E-13,0.1
