Setup title,Transfer_EDOPE,,,,
Device ID,EDOP3_C9R6,,,,
Flags,,,,,
Remarks,,,,,
VG,IDS,IG,ICG,VDS,VCG
-8,5.7352E-11,-5.09E-13,-1.492E-12,0.1,-12
-7.911,8.2688E-11,-2.14E-13,-9.76E-13,0.1,-12
-7.822,1.01555E-10,-1.2E-13,-7.42E-13,0.1,-12
-7.733,1.21256E-10,-1.01E-13,-6.14E-13,0.1,-12
-7.644,1.43174E-10,-9E-14,-5.08E-13,0.1,-12
-7.556,1.66793E-10,-6.1E-14,-4.53E-13,0.1,-12
-7.467,1.9423E-10,-4.7E-14,-4.05E-13,0.1,-12
-7.378,2.24948E-10,-3.5E-14,-3.54E-13,0.1,-12
-7.289,2.59102E-10,-2.8E-14,-3.14E-13,0.1,-12
-7.2,2.97762E-10,2E-15,-3.2E-13,0.1,-12
-7.111,3.41835E-10,-2E-14,-2.72E-13,0.1,-12
-7.022,3.90553E-10,2E-15,-2.61E-13,0.1,-12
-6.933,4.45921E-10,2.49E-13,-3.86E-13,0.1,-12
-6.844,5.06865E-10,-8.4E-14,-2.39E-13,0.1,-12
-6.756,5.7561E-10,-1.4E-14,-2.39E-13,0.1,-12
-6.667,6.52008E-10,1.2E-14,-1.78E-13,0.1,-12
-6.578,7.3556E-10,-3.8E-14,-2.07E-13,0.1,-12
-6.489,8.3257E-10,1.5E-14,-1.79E-13,0.1,-12
-6.4,9.4054E-10,3.2E-14,-1.87E-13,0.1,-12
-6.311,1.05663E-09,1.3E-14,-1.96E-13,0.1,-12
-6.222,1.18672E-09,1.8E-14,-1.77E-13,0.1,-12
-6.133,1.32613E-09,1.6E-14,-1.74E-13,0.1,-12
-6.044,1.483E-09,1.6E-14,-1.69E-13,0.1,-12
-5.956,1.6506E-09,-4E-15,-1.78E-13,0.1,-12
-5.867,1.83704E-09,2.6E-14,-1.8E-13,0.1,-12
-5.778,0.000000002,2.1E-14,-1.42E-13,0.1,-12
-5.689,2.25685E-09,5.3E-14,-1.51E-13,0.1,-12
-5.6,2.49459E-09,7E-14,-8.6E-14,0.1,-12
-5.511,2.75106E-09,7.1E-14,-1.48E-13,0.1,-12
-5.422,0.000000003,1.7E-14,-1.5E-13,0.1,-12
-5.333,3.33343E-09,9.7E-14,1.5E-13,0.1,-12
-5.244,3.65514E-09,3.5E-14,-6.29E-13,0.1,-12
-5.156,0.000000004,-3.3E-14,1.55E-13,0.1,-12
-5.067,4.36388E-09,2E-14,-8.1E-14,0.1,-12
-4.978,4.75651E-09,-5.4E-14,-2.93E-13,0.1,-12
